round,island,call_type,model,status,reason,elapsed_s,input_tokens,output_tokens,total_tokens,token_source,estimated_cost,input_chars,output_chars
0,balanced_generalist,second_seed,deepseek-v4-pro,pass,,62.414,2415,5571,7986,api,0.0,7682,1257
0,memory_safe,second_seed,deepseek-v4-pro,pass,,66.084,2222,5598,7820,api,0.0,7104,2119
0,pipeline_efficiency,second_seed,deepseek-v4-pro,pass,,62.623,2343,5522,7865,api,0.0,7390,1263
0,topology_affinity,second_seed,deepseek-v4-pro,pass,,134.394,2336,12029,14365,api,0.0,7448,1038
1,pipeline_efficiency,score_evolution,deepseek-v4-pro,pass,,98.012,7231,8764,15995,api,0.0,20338,1604
1,memory_safe,score_evolution,deepseek-v4-pro,pass,,104.524,6371,9131,15502,api,0.0,18248,2761
1,topology_affinity,score_evolution,deepseek-v4-pro,pass,,110.621,7040,10198,17238,api,0.0,20038,1777
1,balanced_generalist,score_evolution,deepseek-v4-pro,pass,,176.151,7280,16145,23425,api,0.0,20569,1648
2,memory_safe,score_evolution,deepseek-v4-pro,pass,,81.244,7033,6884,13917,api,0.0,20427,2626
2,balanced_generalist,score_evolution,deepseek-v4-pro,pass,,104.964,6300,6439,12739,api,0.0,17917,935
2,topology_affinity,score_evolution,deepseek-v4-pro,pass,,119.678,7440,10370,17810,api,0.0,21250,1387
2,pipeline_efficiency,score_evolution,deepseek-v4-pro,pass,,136.067,7538,11389,18927,api,0.0,21353,1887
3,memory_safe,score_evolution,deepseek-v4-pro,pass,,69.192,7033,5582,12615,api,0.0,20427,2746
3,topology_affinity,score_evolution,deepseek-v4-pro,pass,,72.497,6765,5863,12628,api,0.0,19170,1512
3,balanced_generalist,score_evolution,deepseek-v4-pro,pass,,97.317,6395,7891,14286,api,0.0,18274,1840
3,pipeline_efficiency,score_evolution,deepseek-v4-pro,pass,,134.0,7617,11364,18981,api,0.0,21659,1531
4,memory_safe,score_evolution,deepseek-v4-pro,pass,,78.162,7033,6418,13451,api,0.0,20427,2463
4,pipeline_efficiency,score_evolution,deepseek-v4-pro,pass,,90.688,5778,7243,13021,api,0.0,16736,1409
4,balanced_generalist,score_evolution,deepseek-v4-pro,pass,,106.629,5928,8471,14399,api,0.0,16947,1871
4,topology_affinity,score_evolution,deepseek-v4-pro,pass,,131.805,6225,11301,17526,api,0.0,18124,2577
5,pipeline_efficiency,score_evolution,deepseek-v4-pro,pass,,88.911,5759,7531,13290,api,0.0,16661,1660
5,memory_safe,score_evolution,deepseek-v4-pro,pass,,115.177,7145,8661,15806,api,0.0,20772,2358
5,balanced_generalist,score_evolution,deepseek-v4-pro,pass,,149.997,6093,12163,18256,api,0.0,17548,1857
5,topology_affinity,score_evolution,deepseek-v4-pro,pass,,152.191,6114,13831,19945,api,0.0,17949,2742
6,pipeline_efficiency,score_evolution,deepseek-v4-pro,pass,,98.637,5734,4758,10492,api,0.0,16527,2033
6,topology_affinity,score_evolution,deepseek-v4-pro,pass,,139.484,6166,9687,15853,api,0.0,18121,2419
6,balanced_generalist,score_evolution,deepseek-v4-pro,pass,,152.338,6093,11354,17447,api,0.0,17548,1921
6,memory_safe,score_evolution,deepseek-v4-pro,pass,,167.083,6465,11326,17791,api,0.0,18603,2750
7,pipeline_efficiency,score_evolution,deepseek-v4-pro,pass,,50.938,5897,4260,10157,api,0.0,17189,1077
7,topology_affinity,score_evolution,deepseek-v4-pro,pass,,79.314,5937,6517,12454,api,0.0,17306,2545
7,balanced_generalist,score_evolution,deepseek-v4-pro,pass,,89.443,5654,7673,13327,api,0.0,16599,2018
7,memory_safe,score_evolution,deepseek-v4-pro,pass,,119.262,7030,10441,17471,api,0.0,20350,2892
8,pipeline_efficiency,score_evolution,deepseek-v4-pro,pass,,57.476,5628,4437,10065,api,0.0,16206,1372
8,memory_safe,score_evolution,deepseek-v4-pro,fail,IncompleteRead(1 bytes read),0.0,0,0,0,unavailable,0.0,0,0
8,topology_affinity,score_evolution,deepseek-v4-pro,pass,,100.137,6112,8857,14969,api,0.0,17934,2438
8,balanced_generalist,score_evolution,deepseek-v4-pro,pass,,110.01,5394,8635,14029,api,0.0,15768,1812
9,pipeline_efficiency,score_evolution,deepseek-v4-pro,pass,,74.639,5734,5717,11451,api,0.0,16527,1395
9,topology_affinity,score_evolution,deepseek-v4-pro,pass,,90.088,5933,8232,14165,api,0.0,17265,2247
9,balanced_generalist,score_evolution,deepseek-v4-pro,pass,,119.258,5412,9859,15271,api,0.0,15817,2025
9,memory_safe,score_evolution,deepseek-v4-pro,pass,,124.099,7145,9997,17142,api,0.0,20772,2644
10,pipeline_efficiency,score_evolution,deepseek-v4-pro,pass,,68.043,5545,5467,11012,api,0.0,15928,1714
10,memory_safe,score_evolution,deepseek-v4-pro,pass,,71.725,7030,6116,13146,api,0.0,20352,2374
10,balanced_generalist,score_evolution,deepseek-v4-pro,pass,,78.142,5420,6980,12400,api,0.0,15887,2323
10,topology_affinity,score_evolution,deepseek-v4-pro,pass,,112.391,5978,9915,15893,api,0.0,17440,2508
